83818_G04	-0.0327	-0.0022	0.0157	-0.006	0.0506	0.0191	-0.0183	-0.0104	-0.006	-0.008	Italy	South
83818_G05	-0.0074	0.0039	0.0083	0.002	0.0073	-0.0048	-0.0151	0.0194	-0.0009	-0.0047	Germany	Central
83818_G06	-0.0004	0.0047	-0.0024	0.003	-0.0001	0.0046	-0.0037	0.0029	0.0016	-0.0004	Germany	Central
83818_G07	0.0017	0.014	-0.0111	0.0072	-0.0019	0.0104	-0.002	-0.0106	0.0166	-0.0262	Germany	Central
83818_G08	-0.0034	-0.0018	0.0004	-0.0037	0.0051	0.0044	-0.0062	-0.0061	0.0085	-0.0004	Germany	Central
83818_G09	-0.0039	0.0024	0.006	0.0055	0.0009	0.0032	-0.0038	0.0078	-0.0012	-0.0095	Germany	Central
83818_G10	-0.0012	0.0108	-0.0041	0.0131	0.0007	0.0001	0.0059	-0.0307	0.0128	0.021	Germany	Central
83818_G12	-0.0023	-0.0046	0.004	0.0121	0.0028	-0.0094	-0.0091	-0.0025	-0.0139	-0.0007	Germany	Central
83818_H02	-0.0286	0.0059	0.0078	0.0011	-0.0145	-0.0061	0.0005	0.0043	0.0138	0.0026	Italy	South
83818_H03	-0.0219	0.0023	0.003	-0.0027	0.0125	0.0174	0.0027	-0.0086	-0.0198	0.0188	Italy	South
83818_H04	-0.0174	0.0069	0.006	-0.0057	-0.0024	0.0116	-0.0013	0.017	-0.0166	-0.009	Italy	South
83818_H06	-0.0032	-0.0018	0.0021	0.0057	0.0017	0.0064	0.0211	-0.0149	0.003	-0.0123	Germany	Central
83818_H07	0.0052	0.0095	-0.0172	0.0099	-0.0079	0.0087	-0.0012	-0.0068	0.0028	-0.0067	Germany	Central
83818_H08	0.0024	-0.0024	-0.0001	0.0136	-0.0062	-0.0119	0.004	-0.0052	-0.0045	-0.0016	Germany	Central
83818_H09	0.0024	0.0117	-0.0165	0.0086	0.0007	0.0077	0.0015	-0.0119	0.0166	0.0051	Germany	Central
83818_H10	0.0	0.0094	-0.0086	0.0058	-0.0025	-0.0118	-0.0023	-0.0209	0.0039	-0.0003	Germany	Central
83818_H12	-0.0008	0.0088	-0.017	0.007	-0.0003	-0.0016	0.0036	0.0049	-0.0119	0.0155	Germany	Central
86189_A01	-0.0297	0.0118	0.0102	-0.0052	-0.0258	-0.0152	-0.0064	-0.007	0.0086	-0.0093	Italy	South
86189_A02	-0.0189	0.0019	0.0009	-0.0041	0.0019	-0.0024	-0.0084	0.0053	-0.0048	-0.0044	Italy	South
86189_A03	-0.0316	0.0118	0.008	-0.0012	-0.0158	-0.0049	-0.0049	0.0083	-0.0084	-0.0148	Italy	South
86189_A04	-0.0182	0.0017	0.0059	0.0016	0.0052	0.0065	-0.0118	0.0206	-0.0137	0.0086	Italy	South
