id	pop	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
116279_D07	Germany	-0.003	-0.0013	-0.001	-0.0047	0.0066	-0.0074	-0.0035	0.0026	-0.0027	-0.0183	Central
116279_D08	Norway	0.0086	0.0006	-0.0212	0.0036	-0.0046	0.0132	0.0179	-0.0001	0.0028	0.0035	North
116279_D11	Italy	-0.0202	-0.003	-0.0063	-0.0059	-0.0086	0.0068	0.0061	0.0046	-0.0124	-0.0033	South
116279_D12	Italy	-0.0247	-0.004	-0.0034	0.0023	-0.0002	0.0146	-0.0066	-0.0113	0.0009	0.0043	South
116279_E04	France	-0.0101	0.0059	0.0045	0.0026	-0.0098	-0.009	0.0066	0.0009	-0.0037	-0.0055	West
116279_E06	Belgium	-0.0025	0.0072	0.0015	-0.0101	0.0089	-0.0011	-0.0056	0.008	-0.002	-0.0192	West
116279_E07	Germany	-0.0071	0.0049	-0.0089	-0.0069	0.006	0.0003	0.0003	-0.0042	-0.0016	-0.01	Central
116279_E08	Norway	0.0066	0.0061	-0.0089	0.0035	0.0025	0.0131	0.012	0.0046	0.0024	0.0069	North
116279_E11	Italy	-0.0177	-0.0016	-0.0063	-0.0026	-0.0014	0.0043	0.0015	0.0037	-0.0085	0.0052	South
116279_E12	Italy	-0.0182	-0.0008	0.0026	-0.0057	-0.0095	0.003	-0.0058	-0.0053	0.0021	-0.009	South
116279_F06	Belgium	-0.0022	0.0044	-0.0035	-0.0036	0.0038	-0.0061	-0.0061	-0.0021	-0.0033	0.0106	West
116279_F07	Germany	-0.0052	0.0016	-0.0011	-0.004	-0.0068	-0.005	0.0034	-0.0028	0.0018	-0.0053	Central
116279_F08	Norway	0.0094	0	-0.011	-0.0008	-0.0005	0.009	0.0104	-0.0022	0.0053	0.0081	North
116279_F09	Norway	0.0061	-0.0006	-0.0115	0.0018	-0.0026	0.0098	0.0079	-0.0023	-0.009	-0.0017	North
116279_F10	Norway	0.0101	0.0003	-0.0094	-0.0003	0	0.0078	0.02	-0.0011	0.0023	0.0095	North
116279_F11	Italy	-0.0214	-0.0069	-0.005	0.0049	0.0054	0.0081	-0.0003	-0.0047	-0.0038	0.0003	South
116279_F12	Italy	-0.0301	-0.0103	0.0002	0.007	0.0036	0.0216	-0.0049	0.0042	0.0033	0.0014	South
116279_G04	Germany	-0.0003	-0.0082	0.0038	-0.0089	-0.0037	-0.0022	0.0028	-0.0012	0.0072	-0.003	Central
116279_G05	Belgium	0.0001	0.0043	-0.001	-0.0007	0.0041	-0.0029	-0.0014	0.0039	-0.008	-0.0058	West
116279_G06	Belgium	-0.001	0.0061	-0.0022	-0.0086	-0.0063	0.0048	-0.0016	-0.0031	0.0055	-0.0039	West
116279_G07	Germany	0.0037	-0.0136	0.015	-0.0091	0.0031	-0.0051	0.0049	0.0044	-0.0054	0.0012	Central
116279_G08	Norway	0.0091	-0.0008	-0.0141	-0.0008	0.0008	0.0012	0.0132	-0.0013	-0.0066	0.0023	North
116279_G09	Italy	-0.0187	-0.0013	-0.0018	-0.0013	-0.0109	-0.0001	0.0024	-0.0024	0.0045	0.0011	South
116279_G10	Norway	0.0122	-0.0098	-0.0073	0.0123	-0.0066	-0.0014	-0.0134	-0.0044	0.0076	-0.0056	North
116279_G11	Italy	-0.0285	-0.0092	-0.0068	0.0008	0.0016	0.0193	-0.0041	-0.0099	0.0024	-0.015	South
116279_G12	Italy	-0.0224	-0.0034	-0.0066	-0.0039	-0.0015	0.0029	-0.0084	-0.0049	0.0016	0.0023	South
